2.7875e+14,6.105e-40,0.062649
2.7875e+14,6.4155e-40,-0.25136
2.7875e+14,6.97e-40,-0.56537
2.7875e+14,7.8323e-40,-0.87937
2.7875e+14,9.1095e-40,-1.1934
2.7875e+14,1.0975e-39,-1.5074
2.7875e+14,1.3714e-39,-1.8214
2.7875e+14,1.7796e-39,-2.1353
2.7875e+14,2.4022e-39,-2.4493
2.7875e+14,3.38e-39,3.5199
2.7875e+14,4.9694e-39,3.206
2.7875e+14,7.6567e-39,2.892
2.7875e+14,1.2407e-38,2.5781
2.7875e+14,2.1231e-38,2.2642
2.7875e+14,3.8568e-38,1.9504
2.7875e+14,7.4841e-38,1.6366
2.7875e+14,1.5634e-37,1.3228
2.7875e+14,3.5499e-37,1.0091
2.7875e+14,8.8696e-37,0.6954
2.7876e+14,2.4775e-36,0.38184
2.7876e+14,7.9003e-36,0.068408
2.7876e+14,2.959e-35,-0.24485
2.7876e+14,1.3547e-34,-0.55787
2.7876e+14,8.0393e-34,-0.87052
2.7876e+14,6.7726e-33,-1.1826
2.7876e+14,9.4347e-32,-1.4936
2.7876e+14,2.8946e-30,-1.8025
2.7876e+14,3.7272e-28,-2.1063
2.7876e+14,1.5941e-24,-2.3891
2.7876e+14,0.018891,-1.2912
2.7876e+14,1.2549e-24,3.1424
2.7876e+14,3.3063e-28,2.8587
2.7876e+14,2.6717e-30,2.5547
2.7876e+14,8.8825e-32,2.2457
2.7876e+14,6.452e-33,1.9347
2.7876e+14,7.7191e-34,1.6226
2.7876e+14,1.308e-34,1.3099
2.7876e+14,2.8688e-35,0.99693
2.7876e+14,7.6841e-36,0.68366
2.7876e+14,2.4158e-36,0.37022
2.7876e+14,8.6665e-37,0.056663
2.7876e+14,3.4745e-37,-0.25699
2.7876e+14,1.5324e-37,-0.57071
2.7876e+14,7.3444e-38,-0.88449
2.7876e+14,3.7887e-38,-1.1983
2.7876e+14,2.0875e-38,-1.5122
2.7876e+14,1.2208e-38,-1.8261
2.7876e+14,7.5393e-39,-2.14
2.7876e+14,4.8962e-39,-2.4539
2.7876e+14,3.332e-39,3.5153
2.7876e+14,2.3693e-39,3.2014
2.7876e+14,1.756e-39,2.8874
2.7876e+14,1.3538e-39,2.5734
2.7876e+14,1.0839e-39,2.2594
2.7876e+14,8.9992e-40,1.9454
2.7876e+14,7.7402e-40,1.6314
2.7876e+14,6.8903e-40,1.3174
2.7876e+14,6.3441e-40,1.0034
